Series Name,Title ID,Title,ISBN 10,ISBN 13,Imprint,List Price,ISBN ID,Author
Nonfiction — Young Adult,16972,Reproductive Rights,1467741876,9781467741873,Twenty-First Century Books ™,38.65,31305,Vicki Oransky Wittenstein
Nonfiction — Young Adult,17701,Space Junk,1467756008,9781467756006,Twenty-First Century Books ™,33.32,33083,Karen Romano Young
Nonfiction — Young Adult,18111,Feminism,1467761478,9781467761475,Twenty-First Century Books ™,35.99,33837,Nadia Abushanab Higgins
Nonfiction — Young Adult,18112,Doping in Sports,1467761486,9781467761482,Twenty-First Century Books ™,34.65,33838,Stephanie Sammartino McPherson
Nonfiction — Young Adult,18418,Teen Incarceration,146777572X,9781467775724,Twenty-First Century Books ™,37.32,35497,Patrick Jones
Nonfiction — Young Adult,18419,Dead Zones,1467775738,9781467775731,Twenty-First Century Books ™,35.99,35498,Carol Hand
Nonfiction — Young Adult,18722,Just My Type,1467780103,9781467780100,Twenty-First Century Books ™,34.65,36231,Michael J. Rosen; Daniel Carlson
Nonfiction — Young Adult,18723,Plants vs. Meats,1467780111,9781467780117,Twenty-First Century Books ™,34.65,36232,Meredith Sayles Hughes
Nonfiction — Young Adult,18724,LGBTQ+ Athletes Claim the Field,146778012X,9781467780124,Twenty-First Century Books ™,34.65,36233,Kirstin Cronn-Mills; Alex Jackson Nelson
Nonfiction — Young Adult,19275,The Human Microbiome,1467785687,9781467785686,Twenty-First Century Books ™,34.65,37064,Rebecca E. Hirsch
Nonfiction — Young Adult,19276,Find Your Style,1467785695,9781467785693,Twenty-First Century Books ™,35.99,37065,Sally McGraw
Nonfiction — Young Adult,19277,Understanding Suicide,1467785709,9781467785709,Twenty-First Century Books ™,35.99,37066,Connie Goldsmith
Nonfiction — Young Adult,19278,The Animal Mating Game,1467785717,9781467785716,Twenty-First Century Books ™,35.99,37067,Ann Downer
Nonfiction — Young Adult,19999,Tying the Knot,146779242X,9781467792424,Twenty-First Century Books ™,35.99,38539,Amber J. Keyser
Nonfiction — Young Adult,20000,Legalizing Marijuana,1467792438,9781467792431,Twenty-First Century Books ™,35.99,38540,Margaret J. Goldstein
Nonfiction — Young Adult,20001,The Ebola Epidemic,1467792446,9781467792448,Twenty-First Century Books ™,35.99,38541,Connie Goldsmith
Nonfiction — Young Adult,20003,Whale Quest,1467792462,9781467792462,Twenty-First Century Books ™,37.32,38543,Karen Romano Young
Nonfiction — Young Adult,20288,Climate Migrants,1467793418,9781467793414,Twenty-First Century Books ™,35.99,38938,Rebecca E. Hirsch
Nonfiction — Young Adult,20544,De-Extinction,1467794902,9781467794909,Twenty-First Century Books ™,35.99,39364,Rebecca E. Hirsch
Nonfiction — Young Adult,20905,Exoplanets,1512400866,9781512400861,Twenty-First Century Books ™,35.99,40088,Karen Latchana Kenney
Nonfiction — Young Adult,21037,Prom,1512402672,9781512402674,Twenty-First Century Books ™,35.99,40522,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21038,Racial Profiling,1512402680,9781512402681,Twenty-First Century Books ™,35.99,40523,Alison Marie Behnke
Nonfiction — Young Adult,21250,Addiction and Overdose,1512409537,9781512409536,Twenty-First Century Books ™,37.32,41448,Connie Goldsmith
Nonfiction — Young Adult,21259,Dogs at War,1512410128,9781512410129,Twenty-First Century Books ™,35.99,41477,Connie Goldsmith
Nonfiction — Young Adult,21260,Ninja Plants,1512410136,9781512410136,Twenty-First Century Books ™,35.99,41478,Wiley Blevins
Nonfiction — Young Adult,21310,The Craft-a-Day Book,1512413135,9781512413137,Twenty-First Century Books ™,39.98,41736,Kari Cornell
Nonfiction — Young Adult,21311,Trashing the Planet,1512413143,9781512413144,Twenty-First Century Books ™,37.32,41737,Stuart A. Kallen
Nonfiction — Young Adult,21391,Black Holes,1512415685,9781512415681,Twenty-First Century Books ™,37.32,43549,Sara Latta
Nonfiction — Young Adult,21392,Geoengineering Earth's Climate,1512415693,9781512415698,Twenty-First Century Books ™,35.99,43550,Jennifer Swanson
Nonfiction — Young Adult,21393,3D Printing,1512415707,9781512415704,Twenty-First Century Books ™,37.32,43551,Melissa Koch
Nonfiction — Young Adult,21438,Star Wars: The Force Awakens,1512417912,9781512417913,Twenty-First Century Books ™,33.22,44104,Editors of Topix Media Lab
Nonfiction — Young Adult,23176,Artificial Intelligence,1512418269,9781512418262,Twenty-First Century Books ™,35.99,46961,Stephanie Sammartino McPherson
Nonfiction — Young Adult,23243,Vaccination Investigation,1512425303,9781512425307,Twenty-First Century Books ™,37.32,47756,Tara Haelle
Nonfiction — Young Adult,23244,Underneath It All,1512425311,9781512425314,Twenty-First Century Books ™,37.32,47757,Amber J. Keyser
Nonfiction — Young Adult,23348,Lighting Up the Brain,1512427527,9781512427523,Twenty-First Century Books ™,35.99,47952,Marc Zimmer
Nonfiction — Young Adult,23505,ISIS,1512429988,9781512429985,Twenty-First Century Books ™,37.32,48308,Brendan  January
Nonfiction — Young Adult,23506,Outrageous Animal Adaptations,1512429996,9781512429992,Twenty-First Century Books ™,37.32,48309,Michael J. Rosen
Nonfiction — Young Adult,23517,Economic Inequality,1512431079,9781512431070,Twenty-First Century Books ™,37.32,48376,Coral Celeste Frazer
Nonfiction — Young Adult,26513,Fandom,1512450499,9781512450491,Twenty-First Century Books ™,37.32,54751,Francesca Davis DiPiazza
Nonfiction — Young Adult,26514,Pandemic,1512452157,9781512452150,Twenty-First Century Books ™,42.65,54915,Connie Goldsmith
Nonfiction — Young Adult,33106,Diet for a Changing Climate,1512481211,9781512481211,Twenty-First Century Books ™,37.32,70288,Christy Mihaly; Sue Heavenrich
Nonfiction — Young Adult,33178,Extreme Longevity,1512483729,9781512483727,Twenty-First Century Books ™,37.32,70451,Karen Latchana Kenney
Nonfiction — Young Adult,33179,Snakebite!,1512483737,9781512483734,Twenty-First Century Books ™,37.32,70452,Charles C. Hofer
Nonfiction — Young Adult,33329,Animals Go to War,1512498041,9781512498042,Twenty-First Century Books ™,37.32,71946,Connie Goldsmith
Nonfiction — Young Adult,33330,Shark Quest,151249805X,9781512498059,Twenty-First Century Books ™,37.32,71947,Karen Romano Young
Nonfiction — Young Adult,33489,Living Simply,1541500547,9781541500549,Twenty-First Century Books ™,37.32,72414,Sally McGraw
Nonfiction — Young Adult,33490,Self-Driving Cars,1541500555,9781541500556,Twenty-First Century Books ™,37.32,72415,Michael Fallon
Nonfiction — Young Adult,34559,Forest Talk,1541519779,9781541519770,Twenty-First Century Books ™,37.32,75428,Melissa Koch
Nonfiction — Young Adult,34560,The Dozier School for Boys,1541519787,9781541519787,Twenty-First Century Books ™,37.32,75429,"Elizabeth A. Murray, PhD"
Nonfiction — Young Adult,34561,"Solutions for a Cleaner, Greener Planet",1541519795,9781541519794,Twenty-First Century Books ™,37.32,75430,Marc Zimmer
Nonfiction — Young Adult,35526,The Global Refugee Crisis,1541528115,9781541528116,Twenty-First Century Books ™,37.32,77316,Stephanie Sammartino McPherson
Nonfiction — Young Adult,35527,Women in the Military,1541528123,9781541528123,Twenty-First Century Books ™,37.32,77317,Connie Goldsmith
Nonfiction — Young Adult,35528,Body 2.0,1541528131,9781541528130,Twenty-First Century Books ™,37.32,77318,Sara Latta
Nonfiction — Young Adult,35529,Fake News,154152814X,9781541528147,Twenty-First Century Books ™,37.32,77319,Michael Miller
Nonfiction — Young Adult,35530,Vote!,1541528158,9781541528154,Twenty-First Century Books ™,37.32,77320,Coral Celeste Frazer
Nonfiction — Young Adult,35710,Giraffe Extinction,1541532384,9781541532380,Twenty-First Century Books ™,37.32,78061,Tanya Anderson
Nonfiction — Young Adult,35942,Exposing Hate,1541539257,9781541539259,Twenty-First Century Books ™,37.32,78984,Michael Miller
Nonfiction — Young Adult,36607,No More Excuses,1541540204,9781541540200,Twenty-First Century Books ™,37.32,80450,Amber J. Keyser
Nonfiction — Young Adult,36608,Mindfulness and Meditation,1541540212,9781541540217,Twenty-First Century Books ™,37.32,80451,Whitney Stewart
Nonfiction — Young Adult,36609,You Do You,1541540220,9781541540224,Twenty-First Century Books ™,37.32,80452,Sarah Mirk
Nonfiction — Young Adult,42926,Gun Violence,1541555546,9781541555549,Twenty-First Century Books ™,37.32,92908,Matt Doeden
"Visual Geography Series, Second Series",8829,Bangladesh in Pictures,1541552849,9781541552845,Twenty-First Century Books ™,18.99,90198,Tom Streissguth
"Visual Geography Series, Second Series",8821,Dominican Republic in Pictures,1541552857,9781541552852,Twenty-First Century Books ™,18.99,90199,Christine Zuchora-Walske
"Visual Geography Series, Second Series",1558,Italy in Pictures,1541552865,9781541552869,Twenty-First Century Books ™,18.99,90200,Alison Behnke
"Visual Geography Series, Second Series",2964,Ghana in Pictures,1541552873,9781541552876,Twenty-First Century Books ™,18.99,90201,Yvette  La Pierre
"Visual Geography Series, Second Series",2947,Kenya in Pictures,1541552881,9781541552883,Twenty-First Century Books ™,18.99,90202,Catherine  Broberg
"Visual Geography Series, Second Series",3450,Malaysia in Pictures,154155289X,9781541552890,Twenty-First Century Books ™,18.99,90203,Francesca DiPiazza
"Visual Geography Series, Second Series",2950,Mexico in Pictures,1541552903,9781541552906,Twenty-First Century Books ™,18.99,90204,Janice  Hamilton
"Visual Geography Series, Second Series",8037,Taiwan in Pictures,1541552911,9781541552913,Twenty-First Century Books ™,18.99,90205,Alison Behnke
"Visual Geography Series, Second Series",2086,Thailand in Pictures,154155292X,9781541552920,Twenty-First Century Books ™,18.99,90206,Stacy  Taus-Bolstad
"Visual Geography Series, Second Series",9537,Zambia in Pictures,1541552938,9781541552937,Twenty-First Century Books ™,18.99,90207,Bella Waters
