Series Name,Title ID,Title,ISBN 10,ISBN 13,Imprint,List Price,ISBN ID,Author
Nonfiction — Young Adult,16972,Reproductive Rights,1467741876,9781467741873,Twenty-First Century Books ™,38.65,31305,Vicki Oransky Wittenstein
Nonfiction — Young Adult,17701,Space Junk,1467756008,9781467756006,Twenty-First Century Books ™,33.32,33083,Karen Romano Young
Nonfiction — Young Adult,18111,Feminism,1467761478,9781467761475,Twenty-First Century Books ™,35.99,33837,Nadia Abushanab Higgins
Nonfiction — Young Adult,18112,Doping in Sports,1467761486,9781467761482,Twenty-First Century Books ™,34.65,33838,Stephanie Sammartino McPherson
Nonfiction — Young Adult,18419,Dead Zones,1467775738,9781467775731,Twenty-First Century Books ™,35.99,35498,Carol Hand
Nonfiction — Young Adult,18722,Just My Type,1467780103,9781467780100,Twenty-First Century Books ™,34.65,36231,Michael J. Rosen; Daniel Carlson
Nonfiction — Young Adult,18723,Plants vs. Meats,1467780111,9781467780117,Twenty-First Century Books ™,34.65,36232,Meredith Sayles Hughes
Nonfiction — Young Adult,16972,Reproductive Rights,146778804X,9781467788045,Twenty-First Century Books ™,57.32,37881,Vicki Oransky Wittenstein
Nonfiction — Young Adult,17701,Space Junk,1467788066,9781467788069,Twenty-First Century Books ™,50.65,37883,Karen Romano Young
Nonfiction — Young Adult,16972,Reproductive Rights,1467792373,9781467792370,Twenty-First Century Books ™,9.99,38455,Vicki Oransky Wittenstein
Nonfiction — Young Adult,16972,Reproductive Rights,1467792381,9781467792387,Twenty-First Century Books ™,9.99,38456,Vicki Oransky Wittenstein
Nonfiction — Young Adult,16972,Reproductive Rights,146779239X,9781467792394,Twenty-First Century Books ™,57.32,38457,Vicki Oransky Wittenstein
Nonfiction — Young Adult,20001,The Ebola Epidemic,1467792446,9781467792448,Twenty-First Century Books ™,35.99,38541,Connie Goldsmith
Nonfiction — Young Adult,18419,Dead Zones,1467795755,9781467795753,Twenty-First Century Books ™,53.32,39542,Carol Hand
Nonfiction — Young Adult,18112,Doping in Sports,1467795763,9781467795760,Twenty-First Century Books ™,51.99,39543,Stephanie Sammartino McPherson
Nonfiction — Young Adult,20001,The Ebola Epidemic,1467795771,9781467795777,Twenty-First Century Books ™,53.32,39544,Connie Goldsmith
Nonfiction — Young Adult,18111,Feminism,146779578X,9781467795784,Twenty-First Century Books ™,53.32,39545,Nadia Abushanab Higgins
Nonfiction — Young Adult,18722,Just My Type,1467795798,9781467795791,Twenty-First Century Books ™,51.99,39546,Michael J. Rosen; Daniel Carlson
Nonfiction — Young Adult,18723,Plants vs. Meats,1467795801,9781467795807,Twenty-First Century Books ™,51.99,39547,Meredith Sayles Hughes
Nonfiction — Young Adult,18111,Feminism,1512413046,9781512413045,Twenty-First Century Books ™,9.99,41727,Nadia Abushanab Higgins
Nonfiction — Young Adult,18111,Feminism,1512413054,9781512413052,Twenty-First Century Books ™,53.32,41728,Nadia Abushanab Higgins
Nonfiction — Young Adult,18111,Feminism,1512414085,9781512414080,Twenty-First Century Books ™,9.99,41799,Nadia Abushanab Higgins
Nonfiction — Young Adult,21438,Star Wars: The Force Awakens,1512417912,9781512417913,Twenty-First Century Books ™,33.22,44104,Editors of Topix Media Lab
Nonfiction — Young Adult,18418,Teen Incarceration,146777572X,9781467775724,Twenty-First Century Books ™,37.32,35497,Patrick Jones
Nonfiction — Young Adult,18724,LGBTQ+ Athletes Claim the Field,146778012X,9781467780124,Twenty-First Century Books ™,34.65,36233,Kirstin Cronn-Mills; Alex Jackson Nelson
Nonfiction — Young Adult,19275,The Human Microbiome,1467785687,9781467785686,Twenty-First Century Books ™,34.65,37064,Rebecca E. Hirsch
Nonfiction — Young Adult,19277,Understanding Suicide,1467785709,9781467785709,Twenty-First Century Books ™,35.99,37066,Connie Goldsmith
Nonfiction — Young Adult,19278,The Animal Mating Game,1467785717,9781467785716,Twenty-First Century Books ™,35.99,37067,Ann Downer
Nonfiction — Young Adult,20000,Legalizing Marijuana,1467792438,9781467792431,Twenty-First Century Books ™,35.99,38540,Margaret J. Goldstein
Nonfiction — Young Adult,20288,Climate Migrants,1467793418,9781467793414,Twenty-First Century Books ™,35.99,38938,Rebecca E. Hirsch
Nonfiction — Young Adult,18418,Teen Incarceration,1512411388,9781512411386,Twenty-First Century Books ™,55.99,41596,Patrick Jones
Nonfiction — Young Adult,18724,LGBTQ+ Athletes Claim the Field,1512411396,9781512411393,Twenty-First Century Books ™,51.99,41597,Kirstin Cronn-Mills; Alex Jackson Nelson
Nonfiction — Young Adult,19275,The Human Microbiome,151241140X,9781512411409,Twenty-First Century Books ™,51.99,41598,Rebecca E. Hirsch
Nonfiction — Young Adult,19277,Understanding Suicide,1512411426,9781512411423,Twenty-First Century Books ™,53.32,41600,Connie Goldsmith
Nonfiction — Young Adult,19278,The Animal Mating Game,1512411434,9781512411430,Twenty-First Century Books ™,53.32,41601,Ann Downer
Nonfiction — Young Adult,20000,Legalizing Marijuana,1512411442,9781512411447,Twenty-First Century Books ™,53.32,41602,Margaret J. Goldstein
Nonfiction — Young Adult,20288,Climate Migrants,1512411450,9781512411454,Twenty-First Century Books ™,53.32,41603,Rebecca E. Hirsch
Nonfiction — Young Adult,18418,Teen Incarceration,1512420646,9781512420647,Twenty-First Century Books ™,9.99,47289,Patrick Jones
Nonfiction — Young Adult,18418,Teen Incarceration,1512420654,9781512420654,Twenty-First Century Books ™,55.99,47290,Patrick Jones
Nonfiction — Young Adult,18418,Teen Incarceration,1512420662,9781512420661,Twenty-First Century Books ™,9.99,47291,Patrick Jones
Nonfiction — Young Adult,18724,LGBTQ+ Athletes Claim the Field,1512420670,9781512420678,Twenty-First Century Books ™,9.99,47292,Kirstin Cronn-Mills; Alex Jackson Nelson
Nonfiction — Young Adult,18724,LGBTQ+ Athletes Claim the Field,1512420689,9781512420685,Twenty-First Century Books ™,51.99,47293,Kirstin Cronn-Mills; Alex Jackson Nelson
Nonfiction — Young Adult,18724,LGBTQ+ Athletes Claim the Field,1512420697,9781512420692,Twenty-First Century Books ™,9.99,47294,Kirstin Cronn-Mills; Alex Jackson Nelson
Nonfiction — Young Adult,19275,The Human Microbiome,1512420700,9781512420708,Twenty-First Century Books ™,9.99,47295,Rebecca E. Hirsch
Nonfiction — Young Adult,19275,The Human Microbiome,1512420719,9781512420715,Twenty-First Century Books ™,51.99,47296,Rebecca E. Hirsch
Nonfiction — Young Adult,19275,The Human Microbiome,1512420727,9781512420722,Twenty-First Century Books ™,9.99,47297,Rebecca E. Hirsch
Nonfiction — Young Adult,19277,Understanding Suicide,1512420735,9781512420739,Twenty-First Century Books ™,9.99,47298,Connie Goldsmith
Nonfiction — Young Adult,19277,Understanding Suicide,1512420743,9781512420746,Twenty-First Century Books ™,53.32,47299,Connie Goldsmith
Nonfiction — Young Adult,19277,Understanding Suicide,1512420751,9781512420753,Twenty-First Century Books ™,9.99,47300,Connie Goldsmith
Nonfiction — Young Adult,19278,The Animal Mating Game,151242076X,9781512420760,Twenty-First Century Books ™,9.99,47301,Ann Downer
Nonfiction — Young Adult,19278,The Animal Mating Game,1512420778,9781512420777,Twenty-First Century Books ™,53.32,47302,Ann Downer
Nonfiction — Young Adult,19278,The Animal Mating Game,1512420786,9781512420784,Twenty-First Century Books ™,9.99,47303,Ann Downer
Nonfiction — Young Adult,20000,Legalizing Marijuana,1512420794,9781512420791,Twenty-First Century Books ™,9.99,47304,Margaret J. Goldstein
Nonfiction — Young Adult,20000,Legalizing Marijuana,1512420808,9781512420807,Twenty-First Century Books ™,53.32,47305,Margaret J. Goldstein
Nonfiction — Young Adult,20000,Legalizing Marijuana,1512420816,9781512420814,Twenty-First Century Books ™,9.99,47306,Margaret J. Goldstein
Nonfiction — Young Adult,20288,Climate Migrants,1512420824,9781512420821,Twenty-First Century Books ™,9.99,47307,Rebecca E. Hirsch
Nonfiction — Young Adult,20288,Climate Migrants,1512420832,9781512420838,Twenty-First Century Books ™,53.32,47308,Rebecca E. Hirsch
Nonfiction — Young Adult,20288,Climate Migrants,1512420840,9781512420845,Twenty-First Century Books ™,9.99,47309,Rebecca E. Hirsch
Nonfiction — Young Adult,19276,Find Your Style,1467785695,9781467785693,Twenty-First Century Books ™,35.99,37065,Sally McGraw
Nonfiction — Young Adult,20544,De-Extinction,1467794902,9781467794909,Twenty-First Century Books ™,35.99,39364,Rebecca E. Hirsch
Nonfiction — Young Adult,20905,Exoplanets,1512400866,9781512400861,Twenty-First Century Books ™,35.99,40088,Karen Latchana Kenney
Nonfiction — Young Adult,21037,Prom,1512402672,9781512402674,Twenty-First Century Books ™,35.99,40522,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21038,Racial Profiling,1512402680,9781512402681,Twenty-First Century Books ™,35.99,40523,Alison Marie Behnke
Nonfiction — Young Adult,21259,Dogs at War,1512410128,9781512410129,Twenty-First Century Books ™,35.99,41477,Connie Goldsmith
Nonfiction — Young Adult,21260,Ninja Plants,1512410136,9781512410136,Twenty-First Century Books ™,35.99,41478,Wiley Blevins
Nonfiction — Young Adult,19276,Find Your Style,1512411418,9781512411416,Twenty-First Century Books ™,53.32,41599,Sally McGraw
Nonfiction — Young Adult,20544,De-Extinction,1512428485,9781512428483,Twenty-First Century Books ™,53.32,48049,Rebecca E. Hirsch
Nonfiction — Young Adult,20905,Exoplanets,1512428493,9781512428490,Twenty-First Century Books ™,53.32,48050,Karen Latchana Kenney
Nonfiction — Young Adult,21037,Prom,1512428507,9781512428506,Twenty-First Century Books ™,53.32,48051,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21038,Racial Profiling,1512428515,9781512428513,Twenty-First Century Books ™,53.32,48052,Alison Marie Behnke
Nonfiction — Young Adult,21259,Dogs at War,1512428523,9781512428520,Twenty-First Century Books ™,53.32,48053,Connie Goldsmith
Nonfiction — Young Adult,21260,Ninja Plants,1512428531,9781512428537,Twenty-First Century Books ™,53.32,48054,Wiley Blevins
Nonfiction — Young Adult,20544,De-Extinction,1512439029,9781512439021,Twenty-First Century Books ™,9.99,52336,Rebecca E. Hirsch
Nonfiction — Young Adult,20544,De-Extinction,1512439037,9781512439038,Twenty-First Century Books ™,53.32,52337,Rebecca E. Hirsch
Nonfiction — Young Adult,20544,De-Extinction,1512439045,9781512439045,Twenty-First Century Books ™,9.99,52338,Rebecca E. Hirsch
Nonfiction — Young Adult,21259,Dogs at War,1512439053,9781512439052,Twenty-First Century Books ™,9.99,52339,Connie Goldsmith
Nonfiction — Young Adult,21259,Dogs at War,1512439061,9781512439069,Twenty-First Century Books ™,53.32,52340,Connie Goldsmith
Nonfiction — Young Adult,21259,Dogs at War,151243907X,9781512439076,Twenty-First Century Books ™,9.99,52341,Connie Goldsmith
Nonfiction — Young Adult,20905,Exoplanets,1512439088,9781512439083,Twenty-First Century Books ™,9.99,52342,Karen Latchana Kenney
Nonfiction — Young Adult,20905,Exoplanets,1512439096,9781512439090,Twenty-First Century Books ™,53.32,52343,Karen Latchana Kenney
Nonfiction — Young Adult,20905,Exoplanets,151243910X,9781512439106,Twenty-First Century Books ™,9.99,52344,Karen Latchana Kenney
Nonfiction — Young Adult,19276,Find Your Style,1512439118,9781512439113,Twenty-First Century Books ™,9.99,52345,Sally McGraw
Nonfiction — Young Adult,19276,Find Your Style,1512439126,9781512439120,Twenty-First Century Books ™,53.32,52346,Sally McGraw
Nonfiction — Young Adult,19276,Find Your Style,1512439134,9781512439137,Twenty-First Century Books ™,9.99,52347,Sally McGraw
Nonfiction — Young Adult,21260,Ninja Plants,1512439142,9781512439144,Twenty-First Century Books ™,9.99,52348,Wiley Blevins
Nonfiction — Young Adult,21260,Ninja Plants,1512439150,9781512439151,Twenty-First Century Books ™,53.32,52349,Wiley Blevins
Nonfiction — Young Adult,21260,Ninja Plants,1512439169,9781512439168,Twenty-First Century Books ™,9.99,52350,Wiley Blevins
Nonfiction — Young Adult,21037,Prom,1512439177,9781512439175,Twenty-First Century Books ™,9.99,52351,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21037,Prom,1512439185,9781512439182,Twenty-First Century Books ™,53.32,52352,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21037,Prom,1512439193,9781512439199,Twenty-First Century Books ™,9.99,52353,Jill S. Zimmerman Rutledge
Nonfiction — Young Adult,21038,Racial Profiling,1512439207,9781512439205,Twenty-First Century Books ™,9.99,52354,Alison Marie Behnke
Nonfiction — Young Adult,21038,Racial Profiling,1512439215,9781512439212,Twenty-First Century Books ™,53.32,52355,Alison Marie Behnke
Nonfiction — Young Adult,21038,Racial Profiling,1512439223,9781512439229,Twenty-First Century Books ™,9.99,52356,Alison Marie Behnke
American Music Milestones,10459,American Country,1512452688,9781512452686,Twenty-First Century Books ™,46.65,54968,Lloyd Sachs
American Music Milestones,10459,American Country,1512452696,9781512452693,Twenty-First Century Books ™,6.99,54969,Lloyd Sachs
