,URL
0,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541540220#/
1,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541528131#/
2,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541555546#/
3,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541532384#/
4,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541519787#/
5,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541540212#/
6,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541528158#/
7,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541540204#/
8,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541539257#/
9,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=154152814X#/
10,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541528123#/
11,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541528115#/
12,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541519795#/
13,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541519779#/
14,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541500547#/
15,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1541500555#/
16,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=151249805X#/
17,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512498041#/
18,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512483737#/
19,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512483729#/
20,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512481211#/
21,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512452157#/
22,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512450499#/
23,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512431079#/
24,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512429996#/
25,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512427527#/
26,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512425311#/
27,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512425303#/
28,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=1512413135#/
29,https://search.barnesandnoble.com/bookSearch/isbnInquiry.asp?isbn=146779242X#/
